Año;Mes;CodCliente;codproducto;mercado;Pais;MontoUSD
2009;1;C0031;FRU0002;CHILE;CHILE;99
2009;1;C0031;FRU0003;CHILE;CHILE;33
2009;1;C0031;FRU0004;CHILE;CHILE;172
2009;1;C0031;FRU0005;CHILE;CHILE;264
2009;1;C0031;FRU0006;CHILE;CHILE;132
2009;1;C0031;FRU0007;CHILE;CHILE;198
2009;1;C0031;FRU0008;CHILE;CHILE;34
2009;1;C0031;FRU0009;CHILE;CHILE;34
2009;1;C0031;FRU0010;CHILE;CHILE;330
2009;1;C0032;FRU0005;CHILE;CHILE;808
2009;1;C0032;FRU0007;CHILE;CHILE;538
2009;1;C0032;FRU0013;CHILE;CHILE;227
2009;1;C0032;FRU0004;CHILE;CHILE;549
2009;1;C0032;FRU0015;CHILE;CHILE;539
2009;1;C0032;FRU0016;CHILE;CHILE;539
2009;1;C0032;FRU0002;CHILE;CHILE;269
2009;1;C0032;FRU0017;CHILE;CHILE;151
2009;1;C0085;FRU0006;CHILE;CHILE;1247
2009;1;C0085;FRU0002;CHILE;CHILE;1622
2009;1;C0085;FRU0005;CHILE;CHILE;5902
2009;1;C0085;FRU0002;CHILE;CHILE;3859
2009;1;C0085;FRU0007;CHILE;CHILE;2270
2009;1;C0085;FRU0010;CHILE;CHILE;2748
2009;1;C0085;FRU0003;CHILE;CHILE;2497
2009;1;C0085;FRU0018;CHILE;CHILE;749
2009;1;C0085;FRU0019;CHILE;CHILE;498
2009;1;C0085;FRU0020;CHILE;CHILE;624
2009;1;C0085;FRU0003;CHILE;CHILE;635
2009;1;C0085;FRU0016;CHILE;CHILE;102
2009;1;C0085;FRU0009;CHILE;CHILE;1538
2009;2;C0031;FRU0005;CHILE;CHILE;363
2009;2;C0031;FRU0004;CHILE;CHILE;104
2009;2;C0031;FRU0021;CHILE;CHILE;165
2009;2;C0031;FRU0010;CHILE;CHILE;1122
2009;2;C0031;FRU0003;CHILE;CHILE;165
2009;2;C0031;FRU0002;CHILE;CHILE;462
2009;2;C0031;FRU0006;CHILE;CHILE;33
2009;2;C0031;FRU0007;CHILE;CHILE;132
2009;2;C0031;FRU0009;CHILE;CHILE;69
2009;2;C0031;FRU0016;CHILE;CHILE;34
2009;2;C0032;FRU0024;CHILE;CHILE;209
2009;2;C0032;FRU0015;CHILE;CHILE;539
2009;2;C0032;FRU0010;CHILE;CHILE;539
2009;2;C0032;FRU0005;CHILE;CHILE;1213
2009;2;C0032;FRU0007;CHILE;CHILE;538
2009;2;C0032;FRU0002;CHILE;CHILE;1213
2009;2;C0032;FRU0003;CHILE;CHILE;151
2009;2;C0032;FRU0027;CHILE;CHILE;10
2009;2;C0032;FRU0020;CHILE;CHILE;10
2009;2;C0032;FRU0028;CHILE;CHILE;10
2009;2;C0032;FRU0024;CHILE;CHILE;10
2009;2;C0032;FRU0021;CHILE;CHILE;10
2009;2;C0032;FRU0010;CHILE;CHILE;10
2009;2;C0032;FRU0029;CHILE;CHILE;10
2009;2;C0032;FRU0030;CHILE;CHILE;10
2009;2;C0032;FRU0016;CHILE;CHILE;10
2009;2;C0032;FRU0003;CHILE;CHILE;10
2009;2;C0032;FRU0009;CHILE;CHILE;10
2009;2;C0032;FRU0015;CHILE;CHILE;10
2009;2;C0032;FRU0003;CHILE;CHILE;539
2009;2;C0032;FRU0010;CHILE;CHILE;227
2009;2;C0032;FRU0032;CHILE;CHILE;539
2009;2;C0032;FRU0023;CHILE;CHILE;269
2009;2;C0032;FRU0009;CHILE;CHILE;549
2009;2;C0032;FRU0009;CHILE;CHILE;134
2009;2;C0032;FRU0016;CHILE;CHILE;366
2009;2;C0032;FRU0002;CHILE;CHILE;75
2009;2;C0085;FRU0002;CHILE;CHILE;3495
2009;2;C0085;FRU0003;CHILE;CHILE;424
2009;2;C0085;FRU0002;CHILE;CHILE;374
2009;2;C0085;FRU0010;CHILE;CHILE;1999
2009;2;C0085;FRU0005;CHILE;CHILE;6811
2009;2;C0085;FRU0009;CHILE;CHILE;512
2009;2;C0085;FRU0016;CHILE;CHILE;102
2009;2;C0085;FRU0023;CHILE;CHILE;740
2009;2;C0085;FRU0003;CHILE;CHILE;227
2009;2;C0085;FRU0007;CHILE;CHILE;2270
2009;2;C0085;FRU0020;CHILE;CHILE;1249
2009;2;C0036;FRU0004;CHILE;CHILE;205
2009;2;C0036;FRU0007;CHILE;CHILE;45
2009;2;C0036;FRU0005;CHILE;CHILE;317
2009;2;C0036;FRU0021;CHILE;CHILE;90
2009;2;C0036;FRU0023;CHILE;CHILE;647
2009;2;C0036;FRU0015;CHILE;CHILE;370
2009;2;C0035;FRU0007;CHILE;CHILE;990
2009;2;C0035;FRU0023;CHILE;CHILE;910
2009;2;C0035;FRU0006;CHILE;CHILE;594
2009;2;C0035;FRU0015;CHILE;CHILE;910
2009;2;C0035;FRU0032;CHILE;CHILE;910
2009;3;C0031;FRU0005;CHILE;CHILE;513
2009;3;C0031;FRU0006;CHILE;CHILE;118
2009;3;C0031;FRU0007;CHILE;CHILE;197
2009;3;C0031;FRU0009;CHILE;CHILE;124
2009;3;C0031;FRU0016;CHILE;CHILE;41
2009;3;C0031;FRU0010;CHILE;CHILE;711
2009;3;C0031;FRU0023;CHILE;CHILE;497
2009;3;C0031;FRU0004;CHILE;CHILE;207
2009;3;C0031;FRU0021;CHILE;CHILE;248
2009;3;C0031;FRU0003;CHILE;CHILE;39
2009;3;C0031;FRU0002;CHILE;CHILE;158
2009;3;C0032;FRU0027;CHILE;CHILE;12
2009;3;C0032;FRU0020;CHILE;CHILE;12
2009;3;C0032;FRU0028;CHILE;CHILE;12
2009;3;C0032;FRU0024;CHILE;CHILE;12
2009;3;C0032;FRU0021;CHILE;CHILE;12
2009;3;C0032;FRU0010;CHILE;CHILE;12
2009;3;C0032;FRU0029;CHILE;CHILE;12
2009;3;C0032;FRU0030;CHILE;CHILE;12
2009;3;C0032;FRU0016;CHILE;CHILE;12
2009;3;C0032;FRU0003;CHILE;CHILE;12
2009;3;C0032;FRU0009;CHILE;CHILE;12
2009;3;C0032;FRU0015;CHILE;CHILE;12
2009;3;C0032;FRU0003;CHILE;CHILE;277
2009;3;C0032;FRU0010;CHILE;CHILE;277
2009;3;C0032;FRU0023;CHILE;CHILE;671
2009;3;C0032;FRU0021;CHILE;CHILE;671
2009;3;C0032;FRU0004;CHILE;CHILE;671
2009;3;C0032;FRU0015;CHILE;CHILE;329
2009;3;C0032;FRU0023;CHILE;CHILE;329
2009;3;C0032;FRU0032;CHILE;CHILE;329
2009;3;C0032;FRU0005;CHILE;CHILE;659
2009;3;C0032;FRU0007;CHILE;CHILE;329
2009;3;C0032;FRU0002;CHILE;CHILE;494
2009;3;C0032;FRU0006;CHILE;CHILE;329
2009;3;C0032;FRU0017;CHILE;CHILE;185
2009;3;C0032;FRU0003;CHILE;CHILE;494
2009;3;C0032;FRU0016;CHILE;CHILE;447
2009;3;C0032;FRU0009;CHILE;CHILE;447
2009;3;C0032;FRU0018;CHILE;CHILE;185
2009;3;C0035;FRU0005;CHILE;CHILE;2422
2009;3;C0085;FRU0018;CHILE;CHILE;1527
2009;3;C0085;FRU0010;CHILE;CHILE;1664
2009;3;C0085;FRU0002;CHILE;CHILE;916
2009;3;C0085;FRU0019;CHILE;CHILE;1985
2009;3;C0085;FRU0023;CHILE;CHILE;2260
2009;3;C0085;FRU0030;CHILE;CHILE;2749
2009;3;C0085;FRU0003;CHILE;CHILE;665
2009;3;C0085;FRU0003;CHILE;CHILE;2749
2009;3;C0085;FRU0020;CHILE;CHILE;3207
2009;3;C0085;FRU0016;CHILE;CHILE;501
2009;3;C0085;FRU0004;CHILE;CHILE;940
2009;3;C0085;FRU0032;CHILE;CHILE;1130
2009;3;C0085;FRU0002;CHILE;CHILE;4438
2009;3;C0085;FRU0021;CHILE;CHILE;1253
2009;3;C0085;FRU0010;CHILE;CHILE;3818
2009;3;C0085;FRU0005;CHILE;CHILE;2774
2009;3;C0085;FRU0007;CHILE;CHILE;1109
2009;3;C0085;FRU0017;CHILE;CHILE;611
2009;3;C0036;FRU0016;CHILE;CHILE;154
2009;3;C0036;FRU0021;CHILE;CHILE;125
2009;3;C0036;FRU0004;CHILE;CHILE;188
2009;3;C0036;FRU0005;CHILE;CHILE;166
2009;3;C0036;FRU0007;CHILE;CHILE;277
2009;3;C0036;FRU0002;CHILE;CHILE;110
2009;3;C0036;FRU0015;CHILE;CHILE;904
2009;3;C0036;FRU0023;CHILE;CHILE;226
2009;4;C0032;FRU0016;CHILE;CHILE;269
2009;4;C0032;FRU0015;CHILE;CHILE;269
2009;4;C0032;FRU0009;CHILE;CHILE;538
2009;4;C0032;FRU0016;CHILE;CHILE;915
2009;4;C0032;FRU0032;CHILE;CHILE;269
2009;4;C0032;FRU0003;CHILE;CHILE;269
2009;4;C0032;FRU0020;CHILE;CHILE;302
2009;4;C0032;FRU0017;CHILE;CHILE;302
2009;4;C0032;FRU0002;CHILE;CHILE;673
2009;4;C0032;FRU0005;CHILE;CHILE;808
2009;4;C0032;FRU0003;CHILE;CHILE;943
2009;4;C0032;FRU0009;CHILE;CHILE;1098
2009;4;C0032;FRU0004;CHILE;CHILE;1098
2009;4;C0032;FRU0023;CHILE;CHILE;1098
2009;4;C0032;FRU0021;CHILE;CHILE;915
2009;4;C0035;FRU0023;CHILE;CHILE;91
2009;4;C0035;FRU0015;CHILE;CHILE;91
2009;4;C0035;FRU0009;CHILE;CHILE;91
2009;4;C0035;FRU0032;CHILE;CHILE;91
2009;4;C0035;FRU0004;CHILE;CHILE;45
2009;4;C0035;FRU0023;CHILE;CHILE;45
2009;4;C0035;FRU0021;CHILE;CHILE;45
2009;4;C0035;FRU0016;CHILE;CHILE;45
2009;4;C0035;FRU0005;CHILE;CHILE;39
2009;4;C0035;FRU0002;CHILE;CHILE;1029
2009;4;C0035;FRU0006;CHILE;CHILE;39
2009;4;C0035;FRU0003;CHILE;CHILE;1029
2009;4;C0035;FRU0003;CHILE;CHILE;39
2009;4;C0085;FRU0003;CHILE;CHILE;1816
2009;4;C0085;FRU0002;CHILE;CHILE;6810
2009;4;C0085;FRU0005;CHILE;CHILE;8172
2009;4;C0085;FRU0003;CHILE;CHILE;2998
2009;4;C0085;FRU0010;CHILE;CHILE;1499
2009;4;C0085;FRU0003;CHILE;CHILE;227
2009;4;C0085;FRU0015;CHILE;CHILE;2312
2009;4;C0085;FRU0018;CHILE;CHILE;623
2009;4;C0085;FRU0007;CHILE;CHILE;2270
2009;4;C0085;FRU0020;CHILE;CHILE;499
2009;4;C0085;FRU0021;CHILE;CHILE;1793
2009;4;C0085;FRU0032;CHILE;CHILE;462
2009;4;C0085;FRU0016;CHILE;CHILE;153
2009;4;C0031;FRU0005;CHILE;CHILE;363
2009;4;C0031;FRU0003;CHILE;CHILE;1254
2009;4;C0031;FRU0006;CHILE;CHILE;99
2009;4;C0031;FRU0023;CHILE;CHILE;104
2009;4;C0031;FRU0004;CHILE;CHILE;103
2009;4;C0031;FRU0021;CHILE;CHILE;104
2009;4;C0031;FRU0009;CHILE;CHILE;69
2009;4;C0031;FRU0016;CHILE;CHILE;68
2009;4;C0031;FRU0002;CHILE;CHILE;66
2009;4;C0031;FRU0003;CHILE;CHILE;66
2009;4;C0032;FRU0009;CHILE;CHILE;732
2009;4;C0032;FRU0006;CHILE;CHILE;269
2009;4;C0032;FRU0003;CHILE;CHILE;151
2009;4;C0032;FRU0030;CHILE;CHILE;75
2009;4;C0032;FRU0002;CHILE;CHILE;151
2009;4;C0085;FRU0002;CHILE;CHILE;624
2009;4;C0085;FRU0010;CHILE;CHILE;1362
2009;5;C0032;FRU0039;CHILE;CHILE;1566
2009;5;C0032;FRU0015;CHILE;CHILE;404
2009;5;C0032;FRU0032;CHILE;CHILE;269
2009;5;C0032;FRU0005;CHILE;CHILE;809
2009;5;C0032;FRU0002;CHILE;CHILE;809
2009;5;C0032;FRU0006;CHILE;CHILE;269
2009;5;C0032;FRU0017;CHILE;CHILE;151
2009;5;C0032;FRU0002;CHILE;CHILE;151
2009;5;C0032;FRU0020;CHILE;CHILE;151
2009;5;C0032;FRU0003;CHILE;CHILE;269
2009;5;C0032;FRU0016;CHILE;CHILE;549
2009;5;C0032;FRU0009;CHILE;CHILE;732
2009;5;C0032;FRU0004;CHILE;CHILE;549
2009;5;C0032;FRU0023;CHILE;CHILE;549
2009;5;C0032;FRU0021;CHILE;CHILE;549
2009;5;C0032;FRU0023;CHILE;CHILE;404
2009;5;C0032;FRU0009;CHILE;CHILE;404
2009;5;C0032;FRU0003;CHILE;CHILE;404
2009;5;C0032;FRU0030;CHILE;CHILE;151
2009;5;C0031;FRU0005;CHILE;CHILE;363
2009;5;C0031;FRU0009;CHILE;CHILE;103
2009;5;C0031;FRU0002;CHILE;CHILE;495
2009;5;C0031;FRU0006;CHILE;CHILE;165
2009;5;C0031;FRU0023;CHILE;CHILE;207
2009;5;C0031;FRU0004;CHILE;CHILE;208
