R.U.T.,Entidad,Vigencia,URL Ficha,rut,nombre_razon_social,nombre_fantasia,vigencia,tipo_persona,numero_inscripcion,tipo_doc_nombramiento,nro_doc_nombramiento,fecha_doc_nombramiento,telefono,domicilio,comuna,ciudad,region,casilla,url_ficha
76457592-K,MARCELA HERRERA CORREDORES DE SEGUROS Y CIA. LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76457592&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOaAAW&control=svs&pestania=1,76457592-K,MARCELA HERRERA CORREDORES DE SEGUROS Y CIA. LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7695,Certificado,,2015-01-13,,"SANTA ROSA 441, D.303, ED. CORDILLERA 1",,LOS ANDES,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76457592&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOaAAW&control=svs&pestania=1
76457592-K,MARCELA HERRERA CORREDORES DE SEGUROS Y CIA. LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76457592&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOaAAW&control=svs&pestania=1,76457592-K,MARCELA HERRERA CORREDORES DE SEGUROS Y CIA. LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7695,Certificado,,2015-01-13,,"SANTA ROSA 441, D.303, ED. CORDILLERA 1",,LOS ANDES,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76457592&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOaAAW&control=svs&pestania=1
76457592-K,MARCELA HERRERA CORREDORES DE SEGUROS Y CIA. LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76457592&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOaAAW&control=svs&pestania=1,76457592-K,MARCELA HERRERA CORREDORES DE SEGUROS Y CIA. LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7695,Certificado,,2015-01-13,,"SANTA ROSA 441, D.303, ED. CORDILLERA 1",,LOS ANDES,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76457592&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOaAAW&control=svs&pestania=1
76457592-K,MARCELA HERRERA CORREDORES DE SEGUROS Y CIA. LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76457592&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOaAAW&control=svs&pestania=1,76457592-K,MARCELA HERRERA CORREDORES DE SEGUROS Y CIA. LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7695,Certificado,,2015-01-13,,"SANTA ROSA 441, D.303, ED. CORDILLERA 1",,LOS ANDES,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76457592&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOaAAW&control=svs&pestania=1
77672889-6,SICURO CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77672889&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOgAAf&control=svs&pestania=1,77672889-6,SICURO CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9381,Certificado,,2023-04-21,,EXEQUIEL FERNANDEZ 620 DEPARTAMENTO 45,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77672889&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOgAAf&control=svs&pestania=1
76815712-K,123 CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76815712&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO%2FAAJ&control=svs&pestania=1,76815712-K,123 CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8425,Certificado,,2018-10-25,,"SUECIA 0155, OFICINA 904",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76815712&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO%2FAAJ&control=svs&pestania=1
78082726-2,125 GLOBAL INSURANCE SpA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78082726&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPnAAI&control=svs&pestania=1,78082726-2,125 GLOBAL INSURANCE SpA,125 GLOBAL INSURANCE SpA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9850,Certificado,,2025-02-06,,ntonio Bellet 193 Of/Depto/Casa Nº 1210,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78082726&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPnAAI&control=svs&pestania=1
78159157-2,4X4 CORREDORES DE SEGURO SpA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78159157&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPcAAK&control=svs&pestania=1,78159157-2,4X4 CORREDORES DE SEGURO SpA,4X4 CORREDORES DE SEGURO SpA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9930,Certificado,,2025-06-30,,AV. SANTA MARIA N°5622,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78159157&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPcAAK&control=svs&pestania=1
76026159-9,A & A MAS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76026159&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHaAAR&control=svs&pestania=1,76026159-9,A & A MAS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6640,Certificado,,2008-11-14,,MARCOS GALLO VERGARA 536 B DEPTO 314 C,,LA SERENA,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76026159&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHaAAR&control=svs&pestania=1
76204605-9,A & B CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76204605&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHgAAP&control=svs&pestania=1,76204605-9,A & B CORREDORES DE SEGUROS SPA,A & B CORREDORES SPA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7121,Certificado,,2012-04-16,,DUBLE ALMEYDA 2980 OFI 907,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76204605&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHgAAP&control=svs&pestania=1
